mean_score,mean_score_100,score,mean_reward_100,epsilon,max_loss,avg_q
0.0,0.0,0,-0.96,0.99998416,0,0.14906245470046997
0.5,0.5,1,-0.42499999999999993,0.99993268,0,0.559715211391449
0.3333333333333333,0.3333333333333333,0,-0.59,0.99989704,0,0.756280243396759
0.25,0.25,0,-0.6875,0.99988516,0,0.8362285494804382
0.2,0.2,0,-0.724,0.99982972,20.926908493041992,1.6784747838974
0.3333333333333333,0.3333333333333333,1,-0.6,0.99981388,2.058950424194336,1.8490866422653198
0.2857142857142857,0.2857142857142857,0,-0.65,0.99979012,3.2008414268493652,1.9154311418533325
0.25,0.25,0,-0.6849999999999999,0.99975844,2.315883159637451,1.936132550239563
0.2222222222222222,0.2222222222222222,0,-0.7177777777777777,0.99974656,1.1554327011108398,2.139105796813965
0.2,0.2,0,-0.738,0.9997109200000001,0.7469888925552368,2.331127166748047
0.18181818181818182,0.18181818181818182,0,-0.7545454545454546,0.99967528,1.348564624786377,2.4955320358276367
0.16666666666666666,0.16666666666666666,0,-0.7691666666666667,0.9996436,0.8658828735351562,2.8043830394744873
0.15384615384615385,0.15384615384615385,0,-0.7853846153846153,0.99963172,0.6646584272384644,2.8508524894714355
0.14285714285714285,0.14285714285714285,0,-0.7921428571428571,0.99958024,0.7533701658248901,3.030712842941284
0.13333333333333333,0.13333333333333333,0,-0.804,0.9995644,0.15102995932102203,3.2007575035095215
0.125,0.125,0,-0.813125,0.99954064,0.22295443713665009,3.249284029006958
0.11764705882352941,0.11764705882352941,0,-0.8229411764705883,0.99952876,0.3209220767021179,3.3397774696350098
0.1111111111111111,0.1111111111111111,0,-0.83,0.9995050000000001,1.0301313400268555,3.4493014812469482
0.10526315789473684,0.10526315789473684,0,-0.8326315789473684,0.99945352,0.5277871489524841,4.125484466552734
0.1,0.1,0,-0.8385,0.99942976,1.326662302017212,4.116135120391846
0.09523809523809523,0.09523809523809523,0,-0.8438095238095238,0.9994059999999999,0.833640456199646,4.390501499176025
0.09090909090909091,0.09090909090909091,0,-0.8477272727272727,0.99937432,0.8998178243637085,4.852477550506592
0.08695652173913043,0.08695652173913043,0,-0.8513043478260869,0.99934264,0.7689165472984314,4.685157299041748
0.08333333333333333,0.08333333333333333,0,-0.8566666666666666,0.99933076,0.2448456585407257,4.8714799880981445
0.08,0.08,0,-0.8588,0.99929116,0.7895141839981079,5.0037150382995605
0.07692307692307693,0.07692307692307693,0,-0.8615384615384615,0.99925948,0.518305242061615,5.5635576248168945
0.1111111111111111,0.1111111111111111,1,-0.8240740740740741,0.99919216,0.6002275347709656,6.231622219085693
0.10714285714285714,0.10714285714285714,0,-0.8285714285714285,0.9991684000000001,0.36909493803977966,5.884204387664795
0.10344827586206896,0.10344827586206896,0,-0.8317241379310344,0.9991327600000001,0.6471255421638489,6.1963934898376465
0.1,0.1,0,-0.8333333333333334,0.99908128,0.5869910717010498,6.52278470993042
0.0967741935483871,0.0967741935483871,0,-0.8364516129032258,0.9990496000000001,0.5826379656791687,6.755608081817627
0.125,0.125,1,-0.806875,0.99899812,0.6755417585372925,7.088817119598389
0.12121212121212122,0.12121212121212122,0,-0.8106060606060606,0.99896644,0.45899075269699097,6.827268600463867
0.11764705882352941,0.11764705882352941,0,-0.8141176470588235,0.99893476,0.7159698009490967,6.69305944442749
0.11428571428571428,0.11428571428571428,0,-0.8168571428571428,0.99889516,0.9308249354362488,7.128796100616455
0.1111111111111111,0.1111111111111111,0,-0.821388888888889,0.9988832799999999,0.5762864947319031,6.874680519104004
0.10810810810810811,0.10810810810810811,0,-0.8248648648648649,0.99885952,0.8553618788719177,6.9428839683532715
0.10526315789473684,0.10526315789473684,0,-0.8289473684210527,0.9988476399999999,0.6070326566696167,7.310239791870117
0.10256410256410256,0.10256410256410256,0,-0.8310256410256409,0.99880804,0.6889406442642212,6.896636009216309
0.1,0.1,0,-0.8334999999999999,0.99877636,0.6699420809745789,6.813788414001465
0.12195121951219512,0.12195121951219512,1,-0.8117073170731708,0.9987446799999999,0.5502727627754211,7.003550052642822
