score
27
83
53
25
25
25
38
74
72
41
30
80
27
28
36
25
26
55
29
80
64
78
25
52
75
75
31
27
38
36
77
26
40
73
48
61
26
80
26
73
72
71
27
25
74
37
25
53
67
26
76
83
70
54
26
77
25
72
25
3
40
26
35
86
77
35
25
39
39
75
77
81
72
71
88
37
65
27
61
75
67
65
25
78
39
52
14
32
27
38
26
27
28
72
39
26
32
32
52
36
84
61
70
82
29
87
72
38
84
65
74
25
43
51
10
58
70
77
79
28
25
27
59
25
81
27
29
78
80
23
26
83
13
78
27
38
81
57
37
81
48
63
69
28
39
56
68
37
57
82
68
30
30
66
40
25
27
31
69
40
81
26
67
87
74
38
83
80
38
38
36
40
33
27
73
26
27
45
56
45
25
39
26
60
72
79
33
81
73
25
38
75
80
25
25
82
66
75
26
65
87
49
35
34
73
86
39
27
25
57
62
60
55
61
26
25
26
35
76
38
87
38
38
33
32
38
79
83
77
75
13
74
73
70
83
86
25
46
32
65
35
25
36
73
74
79
25
25
36
38
39
34
69
39
39
77
64
78
75
36
76
42
76
60
25
38
71
45
75
28
26
26
27
85
38
35
67
84
39
63
72
19
81
67
85
66
26
40
44
29
67
38
74
28
38
46
60
39
19
77
73
39
83
45
57
81
69
37
41
38
36
67
81
76
36
25
74
68
59
74
84
85
38
84
36
75
81
26
66
71
24
77
52
38
21
63
73
72
82
26
38
38
59
37
80
79
27
26
70
26
25
25
84
25
70
23
19
25
38
27
4
29
71
31
24
25
25
30
28
81
80
73
33
82
40
53
34
27
85
30
86
31
27
64
37
38
81
33
39
43
26
67
79
77
75
21
32
26
74
38
77
38
76
69
25
76
25
68
36
31
75
56
74
28
37
25
27
29
75
65
81
39
25
75
38
28
38
25
31
38
81
32
38
49
38
33
26
73
35
25
38
64
25
80
25
25
38
38
77
35
80
60
78
79
74
39
32
78
38
34
37
27
47
75
38
78
77
37
82
38
38
80
34
44
36
80
52
72
26
27
25
40
38
31
29
29
70
33
25
17
34
25
85
33
80
33
39
27
25
25
80
75
25
25
78
27
25
32
75
36
43
58
75
26
25
76
29
37
30
25
26
75
71
20
79
75
27
37
25
38
71
56
36
27
20
49
29
26
83
38
79
92
45
44
32
38
63
38
84
65
25
27
26
71
38
68
32
37
78
61
30
27
81
26
25
78
57
29
82
72
37
79
61
44
27
32
71
56
25
77
88
30
27
25
29
77
74
75
84
58
50
81
53
29
25
69
66
72
25
84
38
80
21
28
65
75
25
26
62
87
27
27
78
26
26
37
81
45
31
38
26
29
47
76
62
30
55
38
38
50
25
23
80
29
29
74
77
82
89
25
78
43
18
45
37
25
19
83
15
38
72
25
81
61
38
72
36
27
67
23
39
87
50
46
25
65
78
32
26
74
23
41
52
74
89
83
81
49
75
33
29
70
21
79
80
27
82
76
83
89
26
36
23
38
88
80
33
71
31
87
37
74
27
25
26
25
57
30
41
82
80
82
70
38
68
55
35
38
75
87
83
56
44
45
26
70
29
27
33
26
38
82
35
73
78
44
33
79
79
78
80
58
22
27
84
26
53
26
76
25
62
31
84
25
25
32
64
27
26
38
67
27
27
41
85
64
73
38
51
87
39
38
38
35
25
51
75
38
87
23
37
71
36
61
87
89
33
26
75
75
40
38
75
25
74
74
61
35
80
69
41
36
38
67
29
39
33
63
85
77
25
26
81
37
86
83
89
67
38
75
85
80
88
35
20
84
85
38
38
36
71
55
66
81
40
28
38
25
38
27
29
77
38
57
69
25
26
61
77
58
25
80
72
84
81
27
38
28
57
32
25
81
32
63
83
34
25
68
81
39
46
73
25
38
25
47
74
75
38
75
64
62
90
36
27
12
48
25
31
78
25
25
37
82
73
53
27
78
38
25
66
26
41
70
90
35
75
38
38
81
27
83
38
25
38
44
38
34
23
38
37
77
39
84
59
38
77
69
63
25
38
34
26
42
67
32
38
85
25
26
65
82
26
83
59
27
82
21
25
40
38
58
27
49
74
80
39
27
38
38
70
38
65
52
25
31
74
25
38
16
26
41
74
51
40
73
31
79
49
24
25
25
85
29
25
52
83
60
39
27
57
85
80
38
76
80
67
27
71
26
25
25
26
29
40
26
65
27
27
37
28
31
38
70
70
73
71
78
25
31
38
22
68
26
28
39
25
26
85
60
50
26
74
81
38
76
45
88
36
27
25
41
46
74
24
82
80
35
26
39
66
71
88
23
36
69
77
81
83
27
61
80
29
38
72
39
27
25
25
87
26
26
25
85
25
83
85
34
75
25
28
25
70
70
57
38
67
61
25
41
46
33
35
39
65
24
25
26
83
77
38
79
31
41
68
32
40
38
37
68
78
48
82
78
40
39
26
48
25
38
71
88
39
78
50
70
25
38
38
26
43
84
41
38
39
75
30
76
49
82
36
50
69
38
25
40
78
73
78
75
24
79
83
62
66
56
27
27
25
66
78
65
75
36
77
38
35
75
25
78
33
83
78
31
38
32
38
53
72
86
82
35
56
76
37
58
73
31
83
34
53
38
55
25
55
50
25
39
63
80
69
18
21
27
80
25
70
74
39
28
25
77
80
71
34
52
16
34
32
71
33
69
25
78
68
70
69
33
80
88
56
80
25
38
25
54
26
76
38
39
36
12
59
52
76
19
81
80
74
75
26
70
28
84
32
25
72
38
66
69
71
60
72
76
26
30
34
46
25
27
77
26
39
70
30
49
26
77
85
28
72
76
82
83
25
74
63
30
21
31
35
48
26
77
29
67
62
80
41
77
38
82
33
86
57
30
74
27
76
37
89
77
68
77
26
76
76
81
27
76
49
81
79
38
39
63
78
25
26
37
74
29
23
27
65
26
27
41
49
35
67
33
78
62
72
27
38
26
82
33
35
75
20
49
44
77
76
32
26
38
76
38
38
77
38
61
51
25
83
72
29
38
88
38
25
58
39
38
65
56
85
56
