score,steps
90,2445
91,2449
92,2454
93,2459
94,2460
95,2462
96,2463
97,2464
1,30
2,99
3,150
4,222
5,309
6,361
7,452
8,501
9,519
10,551
11,585
12,589
13,637
14,655
15,688
16,755
17,832
18,846
19,876
20,898
21,930
22,988
23,1035
24,1053
25,1117
26,1119
27,1182
28,1249
29,1280
30,1337
31,1363
32,1418
33,1459
34,1461
35,1467
36,1499
37,1534
38,1576
39,1629
40,1650
41,1666
42,1712
43,1752
44,1781
45,1800
46,1852
47,1867
48,1914
49,1949
50,1967
51,1983
52,2013
53,2019
54,2048
55,2075
56,2080
57,2099
58,2100
59,2126
60,2150
61,2175
62,2182
63,2199
64,2213
65,2229
66,2235
67,2251
68,2255
69,2276
70,2288
71,2292
72,2307
73,2331
74,2339
75,2361
76,2379
77,2380
78,2393
79,2399
80,2412
81,2419
82,2426
83,2432
84,2435
85,2437
86,2445
87,2452
88,2454
89,2457
90,2465
91,2471
92,2475
93,2479
94,2483
95,2486
96,2488
97,2489
1,18
2,97
3,190
4,249
5,273
6,320
7,368
8,371
9,448
10,499
11,550
12,594
13,605
14,667
15,698
16,719
17,729
18,767
19,779
20,801
21,831
22,894
23,964
24,1013
25,1039
26,1063
27,1079
28,1144
29,1175
30,1235
31,1259
32,1301
33,1352
34,1385
35,1442
36,1449
37,1482
38,1511
39,1553
40,1564
41,1613
42,1617
43,1661
44,1706
45,1724
46,1728
47,1747
48,1752
49,1785
50,1830
51,1839
52,1858
53,1890
54,1897
55,1899
56,1937
57,1971
58,1981
59,2019
60,2055
61,2071
62,2095
63,2121
64,2150
65,2155
66,2163
67,2173
68,2195
69,2203
70,2213
71,2231
72,2243
73,2267
74,2283
75,2306
76,2312
77,2320
78,2325
79,2337
80,2340
81,2348
82,2349
83,2362
84,2366
85,2379
86,2389
87,2397
88,2407
89,2409
90,2410
91,2411
92,2414
93,2418
94,2420
95,2421
96,2423
97,2424
1,89
2,101
3,121
4,155
5,233
6,250
7,298
8,299
9,332
10,382
11,389
12,410
13,418
14,444
15,521
16,574
17,634
18,710
19,732
20,767
21,844
22,881
23,945
24,987
25,1059
26,1111
27,1114
28,1121
29,1164
30,1197
31,1205
32,1252
33,1312
34,1324
35,1352
36,1378
37,1381
38,1402
39,1461
40,1518
41,1556
42,1566
43,1571
44,1574
45,1616
46,1667
47,1715
48,1735
49,1749
50,1762
51,1784
52,1822
53,1835
54,1879
55,1896
56,1901
57,1917
58,1924
59,1959
60,1986
61,2018
62,2041
63,2066
64,2075
65,2084
66,2114
67,2145
68,2152
69,2171
70,2193
71,2201
72,2212
73,2231
74,2252
75,2258
76,2268
77,2269
78,2285
79,2299
80,2314
81,2317
82,2331
83,2345
84,2357
85,2370
86,2378
87,2381
88,2389
89,2393
90,2396
91,2402
92,2407
93,2409
94,2412
95,2413
96,2415
97,2416
1,97
2,109
3,194
4,262
5,279
6,308
7,370
8,384
9,392
10,468
11,528
12,594
13,613
14,639
15,672
16,749
17,828
18,905
19,939
20,959
21,998
22,1053
23,1096
24,1100
25,1131
26,1180
27,1249
28,1293
29,1359
30,1400
31,1426
32,1475
33,1477
34,1515
35,1532
36,1558
37,1563
38,1576
39,1609
40,1625
41,1642
42,1688
43,1708
44,1743
45,1745
46,1750
47,1769
48,1773
49,1782
50,1813
51,1836
52,1844
53,1864
54,1905
55,1937
56,1976
57,1993
58,2033
59,2049
60,2056
61,2069
62,2091
63,2096
64,2104
65,2112
66,2127
67,2154
68,2158
69,2185
70,2192
71,2194
72,2196
73,2200
74,2207
75,2217
76,2229
77,2235
78,2236
79,2243
80,2245
81,2259
82,2263
83,2274
84,2288
85,2291
